W1,POS1,RELATION,W2,POS2,PRIORITY
妈妈,n,Desires,网购,n,
宅女,n,Desires,网购,n,
综艺节目,n,Desires,新梗,n,
银行,n,Desires,钱,n,
男孩,n,Desires,机器人,n,
台风,n,Desires,防水,v,
小狗,n,Desires,散步,n,
狗,n,Desires,散步,n,
狗狗,n,Desires,散步,n,
宠物,n,Desires,散步,n,
狗狗,n,Desires,吃饭,v,
狗狗,n,Desires,睡觉,v,
狗狗,n,Desires,玩,v,
狗狗,n,Desires,散步,n,
新流感,n,Desires,打疫苗,v,
乡民,n,Desires,亲戚,n,
孤儿,n,Desires,亲戚,n,
朋友,n,Desires,友情,n,
人,n,Desires,朋友,n,
黑人,n,Desires,嘻哈,n,
电视剧,n,Desires,女优,n,
为人父,v,Desires,教育孩子,v,
老师,n,Desires,问问题,n,
小S,n,Desires,问问题,n,
小孩,n,Desires,听故事,v,
小杰,n,Desires,听故事,v,
人,n,HasA,外面,a,
车,n,HasA,外面,a,
狗,n,HasA,外面,a,
鬼,n,HasA,外面,a,
老板,n,HasA,公司,n,
员工,n,HasA,公司,n,
职员,n,HasA,公司,n,
同事,n,HasA,公司,n,
经理,n,HasA,公司,n,
老师,n,HasA,学校,n,
学生,n,HasA,学校,n,
校长,n,HasA,学校,n,
教室,n,HasA,学校,n,
操场,n,HasA,学校,n,
主任,n,HasA,学校,n,
同学,n,HasA,学校,n,
教官,n,HasA,学校,n,
工友,n,HasA,学校,n,
黑板,n,HasA,学校,n,
妈妈,n,HasA,家,n,
爸爸,n,HasA,家,n,
电视,n,HasA,家,n,
电视,n,HasA,家里,a,
电视,n,HasA,客厅,n,
爸爸,n,HasA,家里,a,
爸爸,n,HasA,家,n,
父母,n,HasA,家里,a,
牌子,n,HasA,滑鼠,n,
牌子,n,HasA,钱包,n,
故事,n,HasA,书中,a,
内容,n,HasA,公文封,n,
内容,n,HasA,大脑,n,
妈妈,n,HasA,家里,a,
水果,n,HasA,冰箱,n,
饮料,n,HasA,冰箱,n,
食物,n,HasA,冰箱,n,
冰块,n,HasA,冰箱,n,
蔬菜,n,HasA,冰箱,n,
冰箱,n,HasA,家里,a,
鸡蛋,n,HasA,冰箱,n,
牛奶,n,HasA,冰箱,n,
冰棒,n,HasA,冰箱,n,
冰淇淋,n,HasA,冰箱,n,
鱼,n,HasA,冰箱,n,
肉,n,HasA,冰箱,n,
品牌,n,HasA,笔,n,
颜色,n,HasA,花,v,
颜色,n,HasA,大便,v,
颜色,n,HasA,极光,n,
颜色,n,HasA,笔,n,
音响,n,HasA,房间,n,
音响,n,HasA,电脑,n,
音响,n,HasA,车子理,n,
音箱,n,HasA,电视机,n,
音箱,n,HasA,吉他,n,
声音,n,HasA,爆炸,v,
电梯,n,HasA,公寓,n,
楼梯,n,HasA,公寓,n,
水塔,n,HasA,公寓,n,
墙壁,a,HasA,公寓,n,
窗户,n,HasA,公寓,n,
房间,n,HasA,公寓,n,
无线的,a,HasA,滑鼠,n,
灯,n,HasA,图书馆,n,
玩具,n,HasA,百货公司,n,
旋转,v,HasA,木马,n,
病毒,n,HasA,木马,n,
木马,n,HasA,游乐园,n,
木马,n,HasA,公园,n,
张菲,n,HasA,综艺节目,n,
明星,n,HasA,综艺节目,n,
综艺节目,n,HasA,电视节目,n,
谐星,n,HasA,综艺节目,n,
钱,n,HasA,银行,n,
警卫,n,HasA,银行,n,
设备,v,HasA,游泳池,n,
设备,v,HasA,实验室,n,
课本,n,HasA,学校,n,
课本,n,HasA,书包,n,
亲戚,n,HasA,人,n,
亲戚,n,HasA,爸爸,n,
电视剧,n,HasA,韩国,n,
电视剧,n,HasA,电视里,a,
网站,n,HasA,网路世界,n,
网站,n,HasA,电脑里,a,
绘本,n,HasA,图书馆,n,
出门,v,HasFirstSubevent,穿衣服,n,
到公司,v,HasFirstSubevent,收信,v,
到公司,v,HasFirstSubevent,打卡,v,
工作,v,HasFirstSubevent,到公司,v,
到公司,v,HasFirstSubevent,开门,v,
到公司,v,HasFirstSubevent,打招呼,v,
到公司,v,HasFirstSubevent,上批踢踢,v,
睡觉,v,HasFirstSubevent,关灯,n,
睡觉,v,HasFirstSubevent,刷牙,v,
吃饭,v,HasFirstSubevent,洗手,v,
吃饭,v,HasFirstSubevent,拿筷子,v,
到家,v,HasFirstSubevent,拿钥匙,v,
到家,v,HasFirstSubevent,开门,v,
出门,v,HasFirstSubevent,开门,v,
出门,v,HasFirstSubevent,穿鞋子,v,
出门,v,HasFirstSubevent,穿衣服,n,
出门,v,HasFirstSubevent,拿钥匙,v,
出门,v,HasFirstSubevent,化妆,n,
出门,v,HasFirstSubevent,穿鞋,n,
出门,v,HasFirstSubevent,锁门,n,
开车,v,HasFirstSubevent,系安全带,v,
开车,v,HasFirstSubevent,开车门,v,
开车,v,HasFirstSubevent,发动引擎,v,
开车,v,HasFirstSubevent,加油,v,
打电话,n,HasFirstSubevent,拿起话筒,v,
打电话,n,HasFirstSubevent,拿起电话,v,
打电话,n,HasFirstSubevent,拨号,v,
睡觉,v,HasFirstSubevent,设闹钟,v,
跳舞,v,HasFirstSubevent,放音乐,v,
睡觉,v,HasFirstSubevent,放音乐,v,
洗澡,v,HasFirstSubevent,放音乐,v,
唱歌,n,HasFirstSubevent,放音乐,v,
早起,v,HasFirstSubevent,吃早餐,v,
早起,v,HasFirstSubevent,刷牙,v,
吃饭,v,HasFirstSubevent,做饭,v,
做饭,v,HasFirstSubevent,洗菜,n,
做饭,v,HasFirstSubevent,洗米,n,
做饭,v,HasFirstSubevent,洗锅子,v,
做饭,v,HasFirstSubevent,买菜,n,
做饭,v,HasFirstSubevent,切菜,n,
做饭,v,HasFirstSubevent,买食材,v,
做饭,v,HasFirstSubevent,开火,v,
写作业,v,HasFirstSubevent,拿铅笔,v,
回家,n,HasFirstSubevent,开门,v,
回家,n,HasFirstSubevent,洗手,v,
回家,n,HasFirstSubevent,脱鞋子,v,
回家,n,HasFirstSubevent,洗澡,v,
回家,n,HasFirstSubevent,拿钥匙,v,
上班,v,HasFirstSubevent,打卡,v,
想下班,v,HasFirstSubevent,打卡,v,
工作,v,HasFirstSubevent,打卡,v,
下班,v,HasFirstSubevent,打卡,v,
听mp3,v,HasFirstSubevent,充电,v,
充电,v,HasFirstSubevent,找插座,v,
充电,v,HasFirstSubevent,拔电池,v,
买车,n,HasFirstSubevent,赚钱,v,
有钱,v,HasFirstSubevent,买车,n,
好人,n,HasFirstSubevent,接送,v,
出国旅行,v,HasFirstSubevent,订房间,n,
约会,n,HasFirstSubevent,订房间,n,
接电话,n,HasFirstSubevent,按下通话键,v,
接电话,n,HasFirstSubevent,看来电显示,v,
接电话,n,HasFirstSubevent,拿起话筒,v,
出门,v,HasFirstSubevent,带手机,v,
准备出门,v,HasFirstSubevent,带手机,v,
带手机,v,HasFirstSubevent,充饱电,n,
出去,v,HasFirstSubevent,带手机,v,
运动,v,HasFirstSubevent,暖身,v,
运动,v,HasFirstSubevent,热身,n,
问问题,n,HasFirstSubevent,举手,v,
睡觉,v,HasFirstSubevent,听故事,v,
听故事,v,HasFirstSubevent,拿故事书,v,
听故事,v,HasFirstSubevent,翻开故事书,v,
听故事,v,HasFirstSubevent,静静听,v,
听故事,v,HasFirstSubevent,安静,n,
买东西吃,v,HasFirstSubevent,点餐,v,
买早餐,v,HasFirstSubevent,点餐,v,
去买饭,v,HasFirstSubevent,点餐,v,
去买东西吃,v,HasFirstSubevent,点餐,v,
去餐馆,v,HasFirstSubevent,点餐,v,
买便当,v,HasFirstSubevent,点餐,v,
糖果,n,HasProperty,买,v,
水果,n,HasProperty,买,v,
豆花妹,n,HasProperty,广告,n,
孩子,n,HasProperty,可爱,v,
孩子,n,HasProperty,天真,n,
电子产品,n,HasProperty,创新,v,
滑鼠,n,HasProperty,电子产品,n,
产品,n,HasProperty,创新,v,
回音,n,HasProperty,声音,n,
手机,n,HasProperty,方便,a,
泡面,n,HasProperty,方便,a,
糖果,n,HasProperty,硬,a,
大便,v,HasProperty,硬,a,
石头,n,HasProperty,硬,a,
冰,n,HasProperty,硬,a,
雕像,n,HasProperty,硬,a,
玻璃,n,HasProperty,硬,a,
大陆货,n,HasProperty,便宜,a,
糖果,n,HasProperty,便宜,a,
矿泉水,n,HasProperty,便宜,a,
火锅,n,HasProperty,便宜,a,
橘子,n,HasProperty,便宜,a,
玉米,n,HasProperty,便宜,a,
作业,n,HasProperty,讨厌,v,
作业,n,HasProperty,烦人,a,
甜心卡,n,HasProperty,实惠,v,
苦瓜,n,HasProperty,白色,n,
盐巴,n,HasProperty,白色,n,
牛奶,n,HasProperty,白色,n,
盐巴,n,HasProperty,白色的,a,
盐,n,HasProperty,白色的,a,
云,n,HasProperty,白色的,a,
巧克力,n,HasProperty,白色的,a,
糖果,n,HasProperty,哄小孩,v,
买,v,HasSubevent,付钱,v,
买,v,HasSubevent,花钱,n,
买,v,HasSubevent,开心,v,
买,v,HasSubevent,刷卡,n,
买,v,HasSubevent,用到钱,v,
想喝饮料,v,HasSubevent,买,v,
生病,n,HasSubevent,吃药,v,
圣诞节,n,HasSubevent,吃圣诞大餐,v,
淘宝,n,HasSubevent,被骗,v,
淘宝,n,HasSubevent,买东西,v,
外面,a,HasSubevent,装气质,v,
外面,a,HasSubevent,假装开心,v,
外面,a,HasSubevent,活泼,a,
外面,a,HasSubevent,走路,n,
外面,a,HasSubevent,注意言行,v,
外面,a,HasSubevent,害羞,a,
外面,a,HasSubevent,吃饭,v,
外面,a,HasSubevent,注意举止,v,
外面,a,HasSubevent,交朋友,n,
外面,a,HasSubevent,彬彬有礼,n,
唱歌,n,HasSubevent,抖音,v,
生病,n,HasSubevent,休息,v,
累,a,HasSubevent,休息,v,
休息,v,HasSubevent,睡觉,v,
公司,n,HasSubevent,上班,v,
公司,n,HasSubevent,认真工作,v,
公司,n,HasSubevent,工作,v,
买手机,n,HasSubevent,说话,v,
买手机,n,HasSubevent,聊天,n,
买手机,n,HasSubevent,门号续约,n,
买手机,n,HasSubevent,花钱,n,
买手机,n,HasSubevent,考虑,v,
买手机,n,HasSubevent,准备钱,v,
买手机,n,HasSubevent,上网查评价,v,
买手机,n,HasSubevent,去手机店,v,
买手机,n,HasSubevent,比较不同手机,v,
学校,n,HasSubevent,上课,v,
学校,n,HasSubevent,读书,n,
学校,n,HasSubevent,睡觉,v,
家,n,HasSubevent,睡觉,v,
家,n,HasSubevent,看电视,v,
家,n,HasSubevent,吃饭,v,
家,n,HasSubevent,上网,v,
听音乐,v,HasSubevent,用耳机,v,
晚上,n,HasSubevent,睡觉,v,
晚上,n,HasSubevent,看电视,v,
晚上,n,HasSubevent,吃饭,v,
晚上,n,HasSubevent,吃晚餐,v,
晚上,n,HasSubevent,洗澡,v,
晚上,n,HasSubevent,熬夜,v,
睡觉,v,HasSubevent,打呼,v,
上夜班,v,HasSubevent,半夜出门,v,
期中考前,a,HasSubevent,上补习班,v,
周末,n,HasSubevent,很开心,a,
周末,n,HasSubevent,跟朋友聚会,v,
周末,n,HasSubevent,睡觉,v,
周末,n,HasSubevent,吃饭,v,
周末,n,HasSubevent,放松,v,
周末,n,HasSubevent,看电影,v,
周末,n,HasSubevent,约会,n,
周末,n,HasSubevent,去健身房,v,
周末,n,HasSubevent,逛街,v,
肚子饿,n,HasSubevent,吃饭,v,
吃饭,v,HasSubevent,看电视,v,
假日,n,HasSubevent,出去玩,n,
情人节,n,HasSubevent,出去玩,n,
生日,n,HasSubevent,出去玩,n,
放假,v,HasSubevent,出去玩,n,
来玩,v,HasSubevent,亲戚来家里,v,
来寒喧,v,HasSubevent,亲戚来家里,v,
来关心,v,HasSubevent,亲戚来家里,v,
来吃饭,v,HasSubevent,亲戚来家里,v,
来祝贺,v,HasSubevent,亲戚来家里,v,
节日,n,HasSubevent,吃大餐,v,
节日,n,HasSubevent,庆祝,v,
开车,v,HasSubevent,听音乐,v,
开车,v,HasSubevent,看路,v,
想你,v,HasSubevent,打电话,n,
打电话,n,HasSubevent,拨号,v,
设闹钟,v,HasSubevent,设早一点,v,
设闹钟,v,HasSubevent,拿手机来用,v,
设闹钟,v,HasSubevent,看时间,v,
睡觉,v,HasSubevent,设闹钟,v,
放音乐,v,HasSubevent,跳舞,v,
放音乐,v,HasSubevent,唱歌,n,
放音乐,v,HasSubevent,开心,v,
放音乐,v,HasSubevent,睡觉,v,
开心,v,HasSubevent,唱歌,n,
生日,n,HasSubevent,唱歌,n,
洗澡,v,HasSubevent,唱歌,n,
快乐,a,HasSubevent,唱歌,n,
吃饭,v,HasSubevent,看电视,v,
无聊,a,HasSubevent,看电视,v,
家里,a,HasSubevent,看电视,v,
选课日,v,HasSubevent,早起,v,
等人,v,HasSubevent,看手表,v,
电梯内放屁,v,HasSubevent,看手表,v,
考试,v,HasSubevent,看手表,v,
暗示,v,HasSubevent,信号,n,
内容,n,HasSubevent,招牌,v,
品牌,n,HasSubevent,枫叶,n,
品牌,n,HasSubevent,雪碧,n,
品牌,n,HasSubevent,乖乖,v,
运动,v,HasSubevent,和朋友一起,v,
学校,n,HasSubevent,写作业,v,
合作,v,HasSubevent,演唱会,n,
下班,v,HasSubevent,回家,n,
上班时,v,HasSubevent,打卡,v,
下班,v,HasSubevent,打卡,v,
打工,v,HasSubevent,打卡,v,
充电,v,HasSubevent,看电视,v,
学校,n,HasSubevent,学习,v,
忙,v,HasSubevent,疲累,a,
有人,n,HasSubevent,声音,n,
情趣商店,n,HasSubevent,消费,v,
带钱,v,HasSubevent,消费,v,
不方便,a,HasSubevent,下雨,v,
便宜,a,HasSubevent,卤肉饭,n,
纯洁,a,HasSubevent,白色,n,
麻烦,a,HasSubevent,小孩,n,
有钱,v,HasSubevent,买车,n,
有驾照,v,HasSubevent,买车,n,
电话响,n,HasSubevent,接电话,n,
上班,v,HasSubevent,接电话,n,
接电话,n,HasSubevent,电话响,n,
综艺节目,n,HasSubevent,康熙来了,n,
银行,n,HasSubevent,存钱,v,
银行,n,HasSubevent,领钱,n,
电影咏春拳,n,HasSubevent,咏春,n,
甄子丹,n,HasSubevent,咏春,n,
歌咏春天,v,HasSubevent,咏春,n,
拳,n,HasSubevent,咏春,n,
永远的春天,n,HasSubevent,咏春,n,
出门,v,HasSubevent,带手机,v,
买菜,n,HasSubevent,带手机,v,
出去买,v,HasSubevent,带手机,v,
准备出门,v,HasSubevent,带手机,v,
公园,n,HasSubevent,散步,n,
亲戚,n,HasSubevent,有人送礼物,v,
友情,n,HasSubevent,朋友,n,
上课,v,HasSubevent,玩手机,v,
大便,v,HasSubevent,玩手机,v,
上厕所,v,HasSubevent,玩手机,v,
教室,n,HasSubevent,玩手机,v,
上课时,n,HasSubevent,玩手机,v,
房间,n,HasSubevent,玩手机,v,
问问题,n,HasSubevent,举手,v,
上课时,n,HasSubevent,问问题,n,
学校,n,HasSubevent,问问题,n,
问问题,n,HasSubevent,思考,v,
教授,n,HasSubevent,问问题,n,
看PTT的时候,a,HasSubevent,问问题,n,
听故事,v,HasSubevent,睡觉,v,
听故事,v,HasSubevent,抱枕头,v,
听故事,v,HasSubevent,开收音机,v,
听故事,v,HasSubevent,关灯,n,
无聊,a,HasSubevent,听音乐,v,
无聊,a,HasSubevent,听歌,v,
餐厅,n,HasSubevent,点餐,v,
上馆子,n,HasSubevent,点餐,v,
点餐,v,HasSubevent,叫服务生,v,
去餐厅,v,HasSubevent,点餐,v,
电脑,n,IsA,工具,n,
电脑,n,IsA,电器,n,
电脑,n,IsA,机器,n,
孩子,n,IsA,甜蜜的负担,n,
家,n,IsA,避风港,n,
跨年,v,IsA,节日,n,
电视,n,IsA,电器,n,
电视,n,IsA,娱乐,v,
电视,n,IsA,机器,n,
电视,n,IsA,家电,v,
电视,n,IsA,电器用品,n,
手机,n,IsA,工具,n,
手机,n,IsA,通讯工具,n,
手机,n,IsA,电话,n,
小夜灯,n,IsA,电灯,n,
上课,v,IsA,互动,v,
相处,v,IsA,互动,v,
爱情,n,IsA,互动,v,
耳机,n,IsA,电子产品,n,
电脑,n,IsA,电子产品,n,
手机,n,IsA,电子产品,n,
遥控器,n,IsA,电子产品,n,
耳机,n,IsA,电子产品,n,
电视,n,IsA,电子产品,n,
列表机,n,IsA,电子产品,n,
冰箱,n,IsA,电子产品,n,
键盘,n,IsA,电子产品,n,
遥控器,n,IsA,电子产品,n,
遥控器,n,IsA,电器,n,
电脑,n,IsA,产品,n,
手机,n,IsA,产品,n,
产品,n,IsA,宝珍香,n,
胶水,n,IsA,产品,n,
计算机,n,IsA,产品,n,
电锅,n,IsA,产品,n,
3C产品,n,IsA,产品,n,
汽车,n,IsA,产品,n,
照相机,n,IsA,产品,n,
玩具,n,IsA,产品,n,
兄弟,n,IsA,牌子,n,
小说,n,IsA,故事,n,
历史,n,IsA,故事,n,
故事,n,IsA,白雪公主,n,
书,n,IsA,内容,n,
嚼槟榔,v,IsA,问题,n,
吃饭,v,IsA,问题,n,
生病,n,IsA,问题,n,
冰箱,n,IsA,电器,n,
电视,n,IsA,家电,v,
冰箱,n,IsA,家电,v,
电脑,n,IsA,家电,v,
洗衣机,n,IsA,家电,v,
吸尘器,n,IsA,家电,v,
台灯,n,IsA,家电,v,
家电,v,IsA,日常用品,n,
收音机,n,IsA,家电,v,
电话,n,IsA,家电,v,
电风扇,n,IsA,家电,v,
吹风机,n,IsA,家电,v,
冷气,n,IsA,家电,v,
洗碗机,n,IsA,家电,v,
统一,v,IsA,品牌,n,
香奈儿,n,IsA,品牌,n,
名牌,n,IsA,品牌,n,
五月花,n,IsA,品牌,n,
保时捷,n,IsA,品牌,n,
星巴克,n,IsA,品牌,n,
绿色,n,IsA,颜色,n,
白,a,IsA,颜色,n,
黑白,n,IsA,颜色,n,
空调,n,IsA,家店,n,
鼻子,n,IsA,外观,n,
合作,v,IsA,团队,n,
吃饭,v,IsA,充电,v,
上课,v,IsA,学习,v,
搭搭搭,n,IsA,声音,n,
MP3下载,v,IsA,百度,n,
手机,n,IsA,方便,a,
交通工具,n,IsA,方便,a,
公寓,n,IsA,房子,n,
公寓,n,IsA,大楼,n,
吹风机,n,IsA,电器,n,
吹风机,n,IsA,家电,v,
吹风机,n,IsA,机器,n,
电灯,n,IsA,灯,n,
台灯,n,IsA,灯,n,
灯,n,IsA,照明工具,v,
灯,n,IsA,艺术,n,
电脑,n,IsA,玩具,n,
手机,n,IsA,玩具,n,
乐高,n,IsA,玩具,n,
洋娃娃,n,IsA,玩具,n,
玩具,n,IsA,东西,n,
娃娃,n,IsA,玩具,n,
秋千,n,IsA,玩具,n,
充气娃娃,n,IsA,玩具,n,
玩具,n,IsA,物品,n,
周记,n,IsA,作业,n,
功课,n,IsA,作业,n,
小孩,n,IsA,麻烦,a,
女人,n,IsA,麻烦,a,
微笑,v,IsA,麻烦事,n,
约会,n,IsA,麻烦事,n,
吵架,v,IsA,麻烦事,n,
名牌,n,IsA,虚荣,a,
香奈儿,n,IsA,名牌,n,
名牌,n,IsA,奢侈品,n,
名牌,n,IsA,时尚,n,
名牌,n,IsA,品味,n,
名牌,n,IsA,品牌,n,
拍卖,v,IsA,网购,n,
打殭尸,v,IsA,游戏,n,
机器人,n,IsA,玩具,n,
地铁,n,IsA,电车,n,
电脑,n,IsA,设备,v,
镜框,n,IsA,设备,v,
滑鼠,n,IsA,设备,v,
电视,n,IsA,设备,v,
散步,n,IsA,运动,v,
婴儿车,n,IsA,生活用品,n,
婴儿车,n,IsA,推车,v,
婴儿车,n,IsA,宝宝用物,n,
婴儿车,n,IsA,方便,a,
婴儿车,n,IsA,奢侈品,n,
课本,n,IsA,书,n,
课本,n,IsA,教科书,n,
狗狗,n,IsA,动物,n,
狗狗,n,IsA,宠物,n,
跑步,n,IsA,运动,v,
棒球,n,IsA,运动,v,
游泳,v,IsA,运动,v,
篮球,n,IsA,运动,v,
新信件,n,IsA,功能,n,
狗,n,IsA,朋友,n,
朋友,n,IsA,关系,n,
仙剑奇侠传,v,IsA,电视剧,n,
时钟,n,IsA,提醒,v,
网站,n,IsA,工具,n,
巴哈姆特,a,IsA,网站,n,
网站,n,IsA,台湾大哥大,n,
综艺大哥大,n,MadeOf,广告,n,
电脑,n,MadeOf,零件,n,
电脑,n,MadeOf,主机板,n,
电脑,n,MadeOf,硬碟,n,
电脑,n,MadeOf,萤幕,n,
电脑,n,MadeOf,键盘,n,
电脑,n,MadeOf,塑胶,n,
电脑,n,MadeOf,记忆体,n,
公司,n,MadeOf,员工,n,
学校,n,MadeOf,学生,n,
学校,n,MadeOf,老师,n,
手表,n,MadeOf,金属,n,
手表,n,MadeOf,塑胶,n,
手表,n,MadeOf,玻璃,n,
手表,n,MadeOf,齿轮,n,
手表,n,MadeOf,石英,n,
手表,n,MadeOf,银,n,
电视,n,MadeOf,塑胶,n,
电视,n,MadeOf,电线,n,
家庭,n,MadeOf,爸爸,n,
手机,n,MadeOf,塑胶,n,
手机,n,MadeOf,金属,n,
手机,n,MadeOf,萤幕,n,
手环,n,MadeOf,白金,n,
手环,n,MadeOf,银制品,n,
手环,n,MadeOf,珍珠,n,
手环,n,MadeOf,皮带,n,
手环,n,MadeOf,绳子,n,
手环,n,MadeOf,银,n,
手环,n,MadeOf,铁,n,
手环,n,MadeOf,线,n,
手环,n,MadeOf,金子,n,
耳机,n,MadeOf,电线,n,
耳机,n,MadeOf,塑胶,n,
家庭,n,MadeOf,父母,n,
小孩,n,MadeOf,父母,n,
快乐,a,MadeOf,玩乐,n,
电视,n,MadeOf,电子产品,n,
电脑,n,MadeOf,电子产品,n,
遥控器,n,MadeOf,塑胶,n,
课本,n,MadeOf,内容,n,
内容,n,MadeOf,书本,n,
书本,n,MadeOf,内容,n,
问题,n,MadeOf,语言,n,
几岁,n,MadeOf,年龄,n,
油漆,n,MadeOf,颜色,n,
酒,n,MadeOf,小米,n,
小米粥,n,MadeOf,小米,n,
面粉,n,MadeOf,小米,n,
米饭,n,MadeOf,小米,n,
面,n,MadeOf,小米,n,
麻糬,n,MadeOf,小米,n,
音响,n,MadeOf,喇叭,n,
音响,n,MadeOf,塑胶,n,
成员,n,MadeOf,合作,v,
派对,v,MadeOf,合作,v,
音箱,n,MadeOf,木头,n,
电影,n,MadeOf,声音,n,
百度,n,MadeOf,搜寻引擎,v,
公寓,n,MadeOf,钢铁,n,
吹风机,n,MadeOf,电线,n,
吹风机,n,MadeOf,塑胶,n,
玩具,n,MadeOf,塑胶,n,
玩具,n,MadeOf,木头,n,
玩具,n,MadeOf,铁,n,
三国无双,n,MadeOf,游戏,n,
平板电脑,n,MadeOf,塑胶,n,
平板电脑,n,MadeOf,金属,n,
平板电脑,n,MadeOf,铁,n,
平板电脑,n,MadeOf,矽,n,
平板电脑,n,MadeOf,合金,n,
平板电脑,n,MadeOf,铝,n,
机器人,n,MadeOf,零件,n,
机器人,n,MadeOf,电脑,n,
机器人,n,MadeOf,机械,n,
机器人,n,MadeOf,机器,n,
课本,n,MadeOf,纸,n,
课本,n,MadeOf,文字,n,
课本,n,MadeOf,纸张,n,
课本,n,MadeOf,知识,v,
国军招募,v,MadeOf,电视剧,n,
玩手机,v,MadeOf,无聊,a,
买,v,MotivatedByGoal,吃饭,v,
买,v,MotivatedByGoal,房子,n,
买,v,MotivatedByGoal,车子,n,
买,v,MotivatedByGoal,背包,n,
买,v,MotivatedByGoal,电视,n,
买,v,MotivatedByGoal,电脑,n,
买,v,MotivatedByGoal,窗户,n,
多运动,v,MotivatedByGoal,好身材,n,
睡觉,v,MotivatedByGoal,考试,v,
吹冷气,n,MotivatedByGoal,天气热,n,
上PTT,v,MotivatedByGoal,看资讯,v,
做爱,v,MotivatedByGoal,孩子,n,
领养,n,MotivatedByGoal,孩子,n,
工作,v,MotivatedByGoal,孩子,n,
受精,v,MotivatedByGoal,孩子,n,
睡觉,v,MotivatedByGoal,休息,v,
休息,v,MotivatedByGoal,累,a,
休息,v,MotivatedByGoal,走更长远的路,v,
休息,v,MotivatedByGoal,觉得累,v,
休息,v,MotivatedByGoal,走更远的路,v,
休息,v,MotivatedByGoal,生病,n,
休息,v,MotivatedByGoal,睡觉,v,
休息,v,MotivatedByGoal,补充体力,v,
休息,v,MotivatedByGoal,走更长的路,v,
休息,v,MotivatedByGoal,累了,v,
买手机,n,MotivatedByGoal,炫耀,v,
买手机,n,MotivatedByGoal,方便,a,
买手机,n,MotivatedByGoal,虚荣,a,
买手机,n,MotivatedByGoal,没手机,v,
买手机,n,MotivatedByGoal,有钱,v,
买手机,n,MotivatedByGoal,流行,v,
骑车,n,MotivatedByGoal,通勤,v,
火车站,n,MotivatedByGoal,通勤,v,
睡觉,v,MotivatedByGoal,晚上,n,
看电视,v,MotivatedByGoal,晚上,n,
洗澡,v,MotivatedByGoal,晚上,n,
吃饭,v,MotivatedByGoal,晚上,n,
睡觉,v,MotivatedByGoal,休息,v,
睡觉,v,MotivatedByGoal,累,a,
睡觉,v,MotivatedByGoal,累了,v,
睡觉,v,MotivatedByGoal,无聊,a,
关灯,n,MotivatedByGoal,睡觉,v,
打哈欠,v,MotivatedByGoal,睡觉,v,
睡觉,v,MotivatedByGoal,上夜班,v,
上补习班,v,MotivatedByGoal,读书,n,
