W1,POS1,RELATION,W2,POS2,PRIORITY,,,,,
买,v,AtLocation,,,1,,,,,
周边玩,v,AtLocation,农家乐,,,,,,,
买耳机,n,AtLocation,,,1,,,,,
买,v,AtLocation,京东,n,1,,,,,
买,v,AtLocation,淘宝,n,1,,,,,
广告,n,AtLocation,,,1,,,,,
了解科技产品,v,AtLocation,今日头条,n,,,,,,
行车记录仪,n,AtLocation,车内,,,,,,,
电脑,n,AtLocation,,,,,,,,
订酒店,v,AtLocation,美团,n,,,,,,
网络,n,AtLocation,外面,n,1,,,,,
看视频,v,AtLocation,抖音,n,1,,,,,
看资讯,v,AtLocation,,,1,,,,,
买电子产品,v,AtLocation,京东,n,1,,,,,
孩子,n,AtLocation,幼儿园,n,,,,,,
买音箱,v,AtLocation,,,1,,,,,
广告信息,n,AtLocation,QQ浏览器,n,2,,,,,
交流群,n,AtLocation,,,1,,,,,
商品信息,n,AtLocation,返利群,n,2,,,,,
智能化设施,n,AtLocation,卧室,n,2,,,,,
科技专栏,n,AtLocation,音频平台,n,2,,,,,
幼儿园,n,AtLocation,,,1,,,,,
休息,v,AtLocation,公司,n,3,,,,,
买手机,v,AtLocation,官网,n,1,,,,,
买电子烟,n,AtLocation,淘宝,n,1,,,,,
稀奇古怪的东西,n,AtLocation,淘宝,n,,,,,,
买大件,v,AtLocation,京东,n,,,,,,
学英语,v,AtLocation,学校,n,1,,,,,
买,v,AtTime,,,1,,,,,
到公司,v,AtTime,,,1,,,,,
用耳机,v,AtTime,通勤,v,2,,,,,
娱乐休闲活动,n,AtTime,晚上,n,1,,,,,
睡觉,v,AtTime,,,1,,,,,
上夜班,v,AtTime,,,1,,,,,
加班,v,AtTime,周末,,,,,,,
吃饭,v,AtTime,,,1,,,,,
加班,v,AtTime,,,1,,,,,
到家,v,AtTime,,,1,,,,,
出去玩,v,AtTime,吃完饭之后,,,,,,,
玩游戏,v,AtTime,,,1,,,,,
亲戚来家里,v,AtTime,,,1,,,,,
用智能音箱,v,AtTime,,,1,,,,,
买蓝牙音箱,v,AtTime,,,1,,,,,
看返利群,v,AtTime,,,1,,,,,
开始关注论坛,v,AtTime,,,1,,,,,
听有声小说,v,AtTime,,,1,,,,,
戴表,v,AtTime,出门,,2,,,,,
接送孩子,v,AtTime,,,1,,,,,
上兴趣班,v,AtTime,,,1,,,,,
出去玩,v,AtTime,周六日,n,,,,,,
回老家,v,AtTime,节日,n,2,,,,,
用音箱,v,AtTime,开车,,2,,,,,
空气净化器,n,CapableOf,连天猫精灵,v,1,,,,,
手表,n,CapableOf,打电话,v,1,,,,,
智能音响,n,CapableOf,自己移动,v,1,,,,,
电视,n,CapableOf,投屏,v,1,,,,,
爸爸,n,CapableOf,和孩子深入沟通,v,,,,,,
智能音箱,n,CapableOf,控制家电,v,1,,,,,
智能音箱,n,CapableOf,设闹钟,v,1,,,,,
智能音箱,n,CapableOf,放音乐,v,1,,,,,
AirPods,n,CapableOf,唤醒Siri,v,,,,,,
手表,n,CapableOf,看信息,v,1,,,,,
手表,n,CapableOf,连接耳机,v,1,,,,,
手机,n,CapableOf,控制家电,v,,,,,,
小米盒子,n,CapableOf,播放动画,v,1,,,,,
小米app,n,CapableOf,控制空调温度,v,1,,,,,
小夜灯,n,CapableOf,定时开关,v,1,,,,,
天猫精灵,n,CapableOf,声控购物,v,,,,,,
天猫精灵,n,CapableOf,语音聊天,v,,,,,,
安防系统,n,CapableOf,实时回放,v,1,,,,,
手环,n,CapableOf,防止走丢,v,,,,,,
小度,n,CapableOf,导航,v,1,,,,,
天猫精灵,n,CapableOf,语音识别,v,1,,,,,
小冰,n,CapableOf,智能对话,v,1,,,,,
小冰,n,CapableOf,唱歌,v,1,,,,,
天猫精灵,n,CapableOf,互动,v,,,,,,
小马英语,n,CapableOf,放慢速度,v,1,,,,,
小胖机器人,n,CapableOf,陪伴聊天,v,1,,,,,
小胖机器人,n,CapableOf,陪伴玩耍,v,1,,,,,
小胖机器人,n,CapableOf,打游戏,v,1,,,,,
智能音箱,n,CapableOf,带出去,v,1,,,,,
智能插座,n,CapableOf,控制家电,v,,,,,,
天猫精灵,n,CapableOf,讲故事,v,,,,,,
贴便利贴,v,Causes,看起来乱,,1,,,,,
,,Causes,觉得智能,v,2,,,,,
进度慢,n,Causes,加班,n,,,,,,
出去玩,v,Causes,买蓝牙音箱,v,2,,,,,
物流速度快,n,Causes,用京东,v,2,,,,,
 ,,Causes,买音箱,v,2,,,,,
看电视,v,Causes,买音箱,v,2,,,,,
优惠,n,Causes,办信用卡,v,2,,,,,
早起,v,Causes,费神,v,,,,,,
看手机不方便,,Causes,看手表,v,,,,,,
学奥数,v,Causes,报班,v,,,,,,
耳机,n,Causes,听力受损,n,,,,,,
米家,n,DefinedAs,米家生态,n, ,,,,,
学习新技能,v,DerivedFrom,,,1,,,,,
父母,n,Desires,听儿童教育相关课程,v,,,,,,
孩子,n,Desires,智能音箱,n,,,,,,
上班听公众号,,DistinctFrom,下班听公众号,,,,,,,
开餐馆,v,FormOf,做餐饮,v,,,,,,
自驾游,n,FormOf,玩乐,v n,,,,,,
背单词,v n,MotivatedByGoal,学英语,v n,,,,,,
资讯app,n,HasA,亲子频道,n,,,,,,
电子产品,n,HasA,型号,n,1,,,,,
电视,n,HasA,遥控器,n,1,,,,,
产品,n,HasA,价格,n,0,,,,,
产品,n,HasA,牌子,n,0,,,,,
智能音响,n,HasA,吸引你的功能,n,1,,,,,
电子产品,n,HasA,吸引你的功能,n,1,,,,,
路由器,n,HasA,信号,n,1,,,,,
故事,n,HasA,内容,n,1,,,,,
智能音响,n,HasA,摄像头,n,1,,,,,
智能音响,n,HasA,屏幕,n,1,,,,,
小度,n,HasA,屏幕,n,1,,,,,
抖音,n,HasA,内容,n,1,,,,,
妈妈,n,HasA,陪孩子的责任,n,,,,,,
蓝牙音箱,n,HasA,问题,n,1,,,,,
蓝牙音箱,n,HasA,续航时间,n,1,,,,,
蓝牙音箱,n,HasA,价格,n,1,,,,,
手机套餐,n,HasA,价格,n,1,,,,,
手表,n,HasA,虚拟SIM卡,n,1,,,,,
冰箱,n,HasA,你期待的功能,n,1,,,,,
工作,n,HasA,工作时长,n,1,,,,,
孩子,n,HasA,年龄,n,1,,,,,
家电,n,HasA,品牌,n,1,,,,,
行车记录仪,n,HasA,品牌,n,1,,,,,
喜马拉雅,n,HasA,有声小说,n,,,,,,
无人机,n,HasA,航空管制,n,,,,,,
语音助手,n,HasA,使用场景,n,1,,,,,
耳机,n,HasA,外形,n,1,,,,,
耳机,n,HasA,颜色,n,1,,,,,
电子烟,n,HasA,烟油,n,,,,,,
小米,n,HasA,品牌形象,n,1,,,,,
手表,n,HasA,佩戴频率,n,1,,,,,
小米,n,HasA,空调,n,,,,,,
海尔,n,HasA,空调,n,,,,,,
海尔,n,HasA,冰箱,n,,,,,,
电视,n,HasA,VR功能,n,,,,,,
小米,n,HasA,平衡车,n,,,,,,
小米产品,n,HasA,生态链,n,,,,,,
小米,n,HasA,激光电视,n,,,,,,
安防系统,n,HasA,隐私问题,n,1,,,,,
盯盯拍,n,HasA,语音版本,n,1,,,,,
智能音箱,n,HasA,外观,n,1,,,,,
智能音箱,n,HasA,版权问题,n,1,,,,,
分成,n,HasA,收益,n,1,,,,,
转化率,n,HasA,定义,n,1,,,,,
做饭,v,HasA,频率,n,1,,,,,
周边玩,v,HasA,频率,n,1,,,,,
天猫精灵,n,HasA,音色,n,,,,,,
音响,n,HasA,功率,n,,,,,,
音响,n,HasA,发声源,n,,,,,,
会全神贯注,v,HasContext,开车,,2,,,,,
和朋友一起,v,HasContext,自驾游,v,,,,,,
买音箱,v,HasFirstSubevent,做攻略,v,1,,,,,
写作业,v,HasPrerequisite,家长带,v,1,,,,,
合作,v,HasPrerequisite,,,1,,,,,
回家,v,HasPrerequisite,打卡,v,,,,,,
使用蓝牙音箱,v,HasPrerequisite,充电,n,1,,,,,
孩子睡觉,v,HasPrerequisite,讲故事,v,,,,,,
买电子产品,v,HasPrerequisite,看测评,v,,,,,,
音箱,n,HasProperty,插线的,a,,,,,,
wifi,n,HasProperty,速度更快的,a,,,,,,
学习,v n,HasProperty,有目标的,a,,,,,,
学习,v n,HasProperty,每天都学,a,,,,,,
公众号,n,HasProperty,收费的,a,,,,,,
工作,v n,HasProperty,忙,a,,,,,,
加班,v n,HasProperty,经常,a,1,,,,,
看app,v,HasProperty,经常,a,1,,,,,
小爱同学,n,HasProperty,小米的,a,,,,,,
路由器,n,HasProperty,有辐射的,a,,,,,,
小米音箱,n,HasProperty,音质好,a,,,,,,
无人机,n,HasProperty,大疆的,a,,,,,,
手表,n,HasProperty,带虚拟卡的,a,,,,,,
honey well,n,HasProperty,功能好,a,1,,,,,
蓝牙音箱,n,HasProperty,便携,a,1,,,,,
语音助手,n,HasProperty,使用频率高,a,1,,,,,
手表,n,HasProperty,接电话方便,a,,,,,,
小爱同学,n,HasProperty,声音好听,a,,,,,,
小爱同学,n,HasProperty,卡哇伊,a,,,,,,
小爱同学,n,HasProperty,声音可爱,a,,,,,,
声音,n,HasProperty,女性化,a,,,,,,
百度,n,HasProperty,方便,a,1,,,,,
siri,n,HasProperty,不够智能,a,1,,,,,
rap,n,HasProperty,躁,a,1,,,,,
公寓,n,HasProperty,集体住的,a,,,,,,
耳机,n,HasProperty,头戴式的,a,,,,,,
耳机,n,HasProperty,无线的,a,,,,,,
电子产品,n,HasProperty,朋友推荐的,a,,,,,,
电子烟,n,HasProperty,吐烟更多,a,,,,,,
消费,v,HasProperty,理性的,a,,,,,,
小米,n,HasProperty,性价比高,a,,,,,,
音响,n,HasProperty,性价比高,a,1,,,,,
吹风机,n,HasProperty,戴森的,a,,,,,,
京东,n,HasProperty,都是正品,,,,,,,
京东,n,HasProperty,自营的,a,,,,,,
保护壳,n,HasProperty,硬,a,1,,,,,
灯,n,HasProperty,智能的,a,1,,,,,
玩具,n,HasProperty,声控的,a,1,,,,,
松下净化器,n,HasProperty,噪音大,a,1,,,,,
遥控器,n,HasProperty,不方便,a,1,,,,,
火火兔,n,HasProperty,名气小,a,1,,,,,
电子产品,n,HasProperty,性价比高,a,1,,,,,
空调,n,HasProperty,智能的,a,1,,,,,
天龙音响,n,HasProperty,专业的,a,1,,,,,
京东,n,HasProperty,方便,a,1,,,,,
冰箱,n,HasProperty,互联控制的,a,,,,,,
投影仪,n,HasProperty,亮度高,a,,,,,,
小米电视,n,HasProperty,便宜,a,1,,,,,
手环,n,HasProperty,有辐射的,a,,,,,,
木马,n,HasProperty,自动的,a,1,,,,,
作业,n,HasProperty,课本上的,a,,,,,,
作业,n,HasProperty,课外的,a,,,,,,
小马英语,n,HasProperty,不收费的,a,1,,,,,
天猫精灵,n,HasProperty,实惠,a,1,,,,,
小胖,n,HasProperty,体积大,a,1,,,,,
白色,n,HasProperty,不耐脏,a,,,,,,
小米音箱,n,HasProperty,白色的,a,,,,,,
智能音箱,n,HasProperty,便携的,a,1,,,,,
出门,v,HasSubevent,带东西,v,,,,,,
在家待着,v,HasSubevent,休息,,,,,,,
出去玩,v,ObstructedBy,麻烦,n,,,,,,
出差,v,HasSubevent,特别带的东西,,,,,,,
买车,v,HasSubevent,买行车记录仪,v,,,,,,
回家,v,HasSubevent,,,1,,,,,
幼儿园,n,HasSubevent,接送,v,,,,,,
玩游戏,v,HasSubevent,充钱,v,1,,,,,
照顾孩子,v,IsA,妈妈和外婆的事,n,,,,,,
订房间,n,IsA,麻烦事,n,1,,,,,
苹果手表,n,IsA,手表,n,,,,,,
手表,n,IsA,电子产品,n,0,,,,,
小爱同学,n,IsA,智能音响,n,0,,,,,
耳机,n,IsA,电子产品,n,0,,,,,
天猫精灵,n,IsA,智能音响,n,0,,,,,
小度,n,IsA,智能音响,n,0,,,,,
智能音响,n,IsA,电子产品,n,0,,,,,
空气净化器,n,IsA,电子产品,n,0,,,,,
天猫魔盒,n,IsA,电子产品,n,0,,,,,
手机,n,IsA,电子产品,n,0,,,,,
路由器,n,IsA,电子产品,n,0,,,,,
电视,n,IsA,电子产品,n,0,,,,,
小度,n,IsA,带屏设备,n,1,,,,,
高德地图,n,IsA,导航APP,n,0,,,,,
长途自驾,v n,IsA,玩乐,v n,,,,,,
售后服务,n,IsA,服务,n,0,,,,,
AirPods,n,IsA,蓝牙耳机,n,,,,,,
蓝牙耳机,n,IsA,电子产品,n,0,,,,,
,,NotDesires,接电话,v,2,,,,,
出门,v,MotivatedByGoal,出去玩,v,,,,,,
,,NotDesires,等位,v,2,,,,,
honey well,n,IsA,名牌,n,1,,,,,
小米音箱,n,IsA,智能音箱,n,0,,,,,
占内存,n,IsA,问题,n,1,,,,,
网购,v,MotivatedByGoal,买电器,v,,,,,,
科技视频,n,IsA,视频,n,0,,,,,
抖音,n,IsA,APP,n,0,,,,,
汽车之家,n,IsA,APP,n,0,,,,,
冰箱,n,IsA,电子产品,n,0,,,,,
中国有嘻哈,n,IsA,综艺节目,n,,,,,,
光大银行,n,IsA,银行,n,0,,,,,
返利群,n,IsA,购物资讯,n,,,,,,
不能语音控制,n,IsA,不良体验,n,,,,,,
颜色老套,n,IsA,不良体验,n,,,,,,
扫地机器人,n,IsA,家电,n,0,,,,,
喜马拉雅,n,IsA,音频平台,n,,,,,,
蓝牙耳机,n,IsA,耳机,n,0,,,,,
beats,n,IsA,耳机,n,1,,,,,
家电,n,IsA,电子产品,n,0,,,,,
导购服务,n,IsA,服务,n,0,,,,, 
汽车之家,n,IsA,汽车app,n,,,,,,
马蜂窝,n,IsA,旅游app,n,,,,,,
手游,n,IsA,游戏,n,2,,,,,
木马,n,IsA,玩具,n,0,,,,,
米兔,n,IsA,玩具,n,0,,,,,
格拉斯,n,IsA,空调品牌,n,1,,,,,
天龙,n,IsA,音响品牌,n,1,,,,,
京东,n,IsA,购买渠道,n,,,,,,
线下,n,IsA,购买渠道,n,,,,,,
耳机,n,IsA,数码电子产品,n,0,,,,,
go pro,n,IsA,数码电子产品,n,0,,,,,
无人机,n,IsA,数码电子产品,n,0,,,,,
小米手环,n,IsA,个人穿戴设备,n,,,,,,
夏普,n,IsA,激光背投,n,,,,,,
百度导航,n,IsA,手机导航,n,,,,,,
高德导航,n,IsA,手机导航,n,,,,,,
天猫精灵,n,IsA,智能音箱,n,0,,,,,
小爱同学,n,IsA,智能音箱,n,0,,,,,
小度,n,IsA,智能音箱,n,0,,,,,
读书郎,n,IsA,平板电脑,n,1,,,,,
小胖,n,IsA,机器人,n,1,,,,,
咏春,n,IsA,课外班,n,1,,,,,
英语课,n,IsA,课外班,n,,,,,,
小马英语,n,IsA,教育类app,n,,,,,,
朋友圈,n,IsA,学习英语的渠道,n,,,,,,
微信群,n,IsA,学习英语的渠道,n,,,,,,
小米线下体验店,n,IsA,实体店,n,,,,,,
智能点读笔,n,IsA,智能设备,n,,,,,,
公交,n,LocatedNear,地铁,n,,,,,,
买给老人,v,MotivatedByGoal,,,1,,,,,
不要内线,v,MotivatedByGoal,,,1,,,,,
要电池,v,MotivatedByGoal,,,1,,,,,
学习,v n,MotivatedByGoal,工作评级,,2,,,,,
学习,v n,MotivatedByGoal,充实自己,,,,,,,
带手机,v,MotivatedByGoal,不想漏电话,,,,,,,
防水,v,MotivatedByGoal,经常去海边,,,,,,,
买蓝牙音箱,v,MotivatedByGoal,,,1,,,,,
回家,v,HasPrerequisite,自己开车,v,,,,,,
换耳机,v,MotivatedByGoal,体验新功能,n,1,,,,,
换耳机,v,MotivatedByGoal,和别人不一样,,1,,,,,
工作,n,ObstructedBy,困难,n,,,,,,
回老家,n,ObstructedBy,麻烦,n,1,,,,,
设备,n,ObstructedBy,没有WIFI,n,,,,,,
智能音箱,n,ObstructedBy,隐私泄露风险,n,,,,,,
游戏资讯,n,PartOf,资讯类app,n,,,,,,
美食资讯,n,PartOf,资讯类app,n,,,,,,
旅游资讯,n,PartOf,资讯类app,n,,,,,,
个人发的内容,n,PartOf,抖音内容,n,,,,,,
散步,n,PartOf,休闲活动,n,,,,,,
移动网络,n,PartOf,手机套餐,n,,,,,,
控制类智能产品,n,PartOf,智能系统,n,,,,,,
智能行车仪,n,IsA,行车记录仪,n,,,,,,
婴儿车,n,PartOf,出门带的东西,n,,,,,,
尿不湿,n,PartOf,出门带的东西,n,,,,,,
纸巾,n,PartOf,出门带的东西,n,,,,,,
数学题,n,PartOf,作业,n,,,,,,
课本,n,PartOf,回家带的东西,n,,,,,,
作业,n,PartOf,回家带的东西,n,,,,,,
平板,n,PartOf,回家带的东西,n,,,,,,
音响,n,PartOf,回家带的东西,n,,,,,,
讲课方式,n,HasProperty,孩子能理解的,a,,AtTime,给儿子讲数学题的时候,,,
狗狗,n,ReceivesAction,打疫苗,v,,,,,,
,,Desires,运动,n v,2,,,,,
,,NotDesires,买到假货,v,2,,,,,
功能,n,ReceivesAction,使用,v,0,,,,,
语音交互,n,RelatedTo,AI,n,,,,,,
路由器,n,RelatedTo,物联网,n,,,,,,
中国有嘻哈,n,RelatedTo,说唱,n,,,,,,
天猫精灵,n,SimilarTo,小爱同学,n,,,,,,
小度,n,SimilarTo,Siri,n,,,,,,
小爱同学,n,SimilarTo,Siri,n,,,,,,
摄像头,n,SimilarTo,摄像机,n,0,,,,,
小米音箱,n,SimilarTo,小爱同学,n,,,,,,
亲戚,n,SimilarTo,朋友,n,0,,,,,
淘宝,n,SimilarTo,京东,n,,,,,,
说唱,n,SimilarTo,rap,n,,,,,,
嘻哈,n,SimilarTo,说唱,n,,,,,,
电视剧,n,SimilarTo,综艺节目,n,,,,,,
天猫精灵,n,SimilarTo,小爱同学,n,,,,,,
智能音箱,n,SimilarTo,蓝牙音箱,n,,,,,,
玩王者荣耀,v,SimilarTo,玩手机,v,,,,,,
小胖,n,SimilarTo,天猫精灵,n,,,,,,
天猫精灵,n,SimilarTo,小爱同学,n,,,,,,
天猫精灵,n,SimilarTo,小度,n,,,,,,
智能音响,n,Synonym,智能音箱,n,,,,,,
周六日,n,Synonym,周末,n,0,,,,,
订房间,v,Synonym,订酒店,v,,,,,,
天猫精灵,n,UsedFor,防盗,v,,,,,,
小马宝莉,n,UsedFor,,,1,,,,,
蓝牙音箱,n,UsedFor,播放歌曲,n,,,,,,
天猫精灵,n,UsedFor,提醒,v,,,,,,
APP,n,UsedFor,看资讯,v,,,,,,
电视,n,UsedFor,看资讯,v,,,,,,
网站,n,UsedFor,看资讯,v,,,,,,
app,n,UsedFor,看资讯,v,,,,,,
亲子频道,n,UsedFor,记录成长,v,,,,,,
抖音,n,UsedFor,教育孩子,v,,,,,,
天猫魔盒,n,UsedFor,看美剧,v,,,,,,
天猫精灵,n,UsedFor,指导做菜,v,,,,,,
手机,n,UsedFor,关注路况,v,,,,,,
智能音响,n,UsedFor,,,1,,,,,
智能音响,n,UsedFor,听儿歌,v,,,,,,
智能音响,n,UsedFor,做算术题,v,,,,,,
智能音响,n,UsedFor,讲故事,v,,,,,,
智能手环,n,UsedFor,计步,v,,,,,,
路由器,n,UsedFor,控制空气净化器,v,,,,,,
学习机,n,UsedFor,学英语,v,,,,,,
siri,n,UsedFor,接电话,v,,AtTime,开车的时候,,,
充电宝,n,UsedFor,充电,n,,,,,,
迅雷,n,UsedFor,挖矿,v,,,,,,
净水器,n,UsedFor,过滤水,n,,,,,,
路由器,n,UsedFor,控制各种设备,n,,,,,,
玩具,n,UsedFor,哄小孩,v,,,,,,
百度,n,UsedFor,问问题,v,,,,,,
微博,n,UsedFor,跟进消息,n,,,,,,
音箱,n,UsedFor,打游戏,n,,,,,,
无人机,n,UsedFor,,,1,,,,,
无人机,n,UsedFor,拍大场面,v,,,,,,
Siri,n,UsedFor,,,1,,,,,
手表,n,UsedFor,,,1,,,,,
卡丁车套件,n,UsedFor,,,1,,,,,
平衡车,n,UsedFor,上下班,v,,,,,,
米兔,n,UsedFor,听故事,v,,,,,,
米兔,n,UsedFor,听儿歌,v,,,,,,
小睡眠app,n,UsedFor,帮助入睡,v,,,,,,
小米盒子,n,UsedFor,听英语歌,v,,,,,,
米兔,n,UsedFor,缓解情绪,v,,,,,,
耳机,n,UsedFor,听音乐,v,,,,,,
无人机,n,UsedFor,极限运动,v,,,,,,
小米手环,n,UsedFor,监测睡眠,v,,,,,,
安防系统,n,UsedFor,监视,v,,,,,,
机器人,n,UsedFor,亲子互动,v,,,,,,
智能音箱,n,UsedFor,听歌,v,,,,,,
QQ空间,n,UsedFor,记录孩子成长,v,,,,,,
手机,n,UsedFor,听歌,v,,,,,,
手机,n,UsedFor,播放FM,v,,,,,,
托管,n,UsedFor,辅导作业,v,,,,,,
智能音箱,n,UsedFor,听小说,v,,,,,,
咏春,n,UsedFor,防止受欺负,v,,,,,,
音响,n,UsedFor,增加聊资,v,,,,,,
平板,n,UsedFor,学习,v,,,,,,
绘本,n,UsedFor,学习英语,v,,,,,,
天猫精灵,n,UsedFor,点餐,v,,,,,,